Orbit,First no panel,Last no panel,Last Frame,# No panel,% No panel,Glare,Glare Start 1,Glare End 1,Glare Start 2,Glare End 2,Notes,,,,,,Very Good,"MLSPB covers most sp, 0-15-frame difference"
12615,,,,,,0,,,,,,,,,,,,
12616,,,,,,0,,,,,,,,,,,,
12617,,,,,,0,,,,,,,,,,,,
12618,,,,,,0,,,,,,,,,,,,
12619,,,,,,0,,,,,,,,,,,,
12620,,,,,,0,,,,,,,,,,,,
12621,,,,,,0,,,,,,,,,,,,
12622,,,,,,0,,,,,,,,,,,,
12623,,,,,,0,,,,,,,,,,,,
12624,,,,,,0,,,,,,,,,,,,
12625,,,,,,0,,,,,,,,,,,,
12626,,,,,,0,,,,,,,,,,,,
12627,,,,,,0,,,,,,,,,,,,
12628,,,,,,0,,,,,,,,,,,,
12629,,,,,,0,,,,,,,,,,,,
12630,,,,,,0,,,,,,,,,,,,
12631,,,,,,0,,,,,,,,,,,,
12632,,,,,,0,,,,,,,,,,,,
12633,,,,,,0,,,,,,,,,,,,
12634,,,,,,0,,,,,,,,,,,,
12635,,,,,,0,,,,,,,,,,,,
12636,,,,,,0,,,,,,,,,,,,
12637,,,,,,0,,,,,,,,,,,,
12638,,,,,,1,0,7,,,Solar panels visible all orbit,,,,,,,
12639,,,,,,0,,,,,Solar panels visible all orbit,,,,,,,
12640,,,,,,0,,,,,Solar panels visible all orbit,,,,,,,
12641,,,,,,0,,,,,,,,,,,,
12642,,,,,,0,,,,,,,,,,,,
12643,,,,,,0,,,,,,,,,,,,
12644,,,,,,0,,,,,,,,,,,,
12645,,,,,,0,,,,,,,,,,,,
12646,,,,,,0,,,,,,,,,,,,
12647,,,,,,0,,,,,,,,,,,,
12648,,,,,,0,,,,,,,,,,,,
12649,,,,,,0,,,,,,,,,,,,
12650,,,,,,0,,,,,,,,,,,,
12651,,,,,,0,,,,,,,,,,,,
12652,,,,,,0,,,,,,,,,,,,
12653,,,,,,0,,,,,,,,,,,,
12654,,,,,,0,,,,,,,,,,,,
12655,,,,,,0,,,,,,,,,,,,
12656,,,,,,0,,,,,,,,,,,,
12657,,,,,,0,,,,,,,,,,,,
12658,,,,,,0,,,,,,,,,,,,
12659,,,,,,0,,,,,,,,,,,,
12660,,,,,,0,,,,,,,,,,,,
12661,,,,,,0,,,,,,,,,,,,
12662,,,,,,0,,,,,,,,,,,,
12663,,,,,,0,,,,,,,,,,,,
12664,,,,,,0,,,,,,,,,,,,
12665,,,,,,0,,,,,,,,,,,,
12666,,,,,,0,,,,,,,,,,,,
12667,,,,,,0,,,,,,,,,,,,
12668,,,,,,0,,,,,,,,,,,,
12669,,,,,,0,,,,,,,,,,,,
12670,,,,,,0,,,,,,,,,,,,
12671,,,,,,0,,,,,,,,,,,,
12672,,,,,,0,,,,,,,,,,,,
12673,,,,,,0,,,,,,,,,,,,
12674,,,,,,0,,,,,,,,,,,,
12675,,,,,,0,,,,,,,,,,,,
12676,,,,,,0,,,,,,,,,,,,
12677,,,,,,0,,,,,,,,,,,,
12678,,,,,,0,,,,,,,,,,,,
12679,,,,,,0,,,,,,,,,,,,
12680,,,,,,0,,,,,,,,,,,,
12681,,,,,,0,,,,,,,,,,,,
12682,,,,,,0,,,,,,,,,,,,
12683,,,,,,0,,,,,,,,,,,,
12684,,,,,,0,,,,,,,,,,,,
12685,,,,,,0,,,,,,,,,,,,
12686,,,,,,0,,,,,,,,,,,,
12687,,,,,,0,,,,,,,,,,,,
12688,,,,,,0,,,,,,,,,,,,
12689,,,,,,0,,,,,,,,,,,,
12690,,,,,,0,,,,,,,,,,,,
12691,,,,,,0,,,,,,,,,,,,
12692,,,,,,0,,,,,,,,,,,,
12693,,,,,,0,,,,,,,,,,,,
12694,,,,,,0,,,,,,,,,,,,
12695,,,,,,0,,,,,,,,,,,,
12696,,,,,,0,,,,,,,,,,,,
12697,,,,,,0,,,,,,,,,,,,
12698,,,,,,0,,,,,,,,,,,,
12699,,,,,,0,,,,,,,,,,,,
12700,,,,,,0,,,,,,,,,,,,
12701,,,,,,0,,,,,,,,,,,,
12702,,,,,,0,,,,,,,,,,,,
12703,,,,,,0,,,,,,,,,,,,
12704,,,,,,1,0,5,,,Panels visible all orbit,,,,,,,
12705,,,,,,0,,,,,Panels visible all orbit,,,,,,,
12706,,,,,,1,0,33,,,,,,,,,,
12707,,,,,,0,,,,,,,,,,,,
12708,,,,,,0,,,,,,,,,,,,
12709,,,,,,0,,,,,,,,,,,,
12710,,,,,,0,,,,,,,,,,,,
12711,,,,,,0,,,,,,,,,,,,
12712,,,,,,0,,,,,,,,,,,,
12713,,,,,,0,,,,,,,,,,,,
12714,,,,,,0,,,,,,,,,,,,
12715,,,,,,0,,,,,,,,,,,,
12716,,,,,,0,,,,,,,,,,,,
12717,,,,,,0,,,,,,,,,,,,
12718,,,,,,0,,,,,,,,,,,,
12719,,,,,,0,,,,,,,,,,,,
12720,,,,,,0,,,,,,,,,,,,
12721,,,,,,0,,,,,,,,,,,,
12722,,,,,,0,,,,,,,,,,,,
12723,,,,,,0,,,,,,,,,,,,
12724,,,,,,0,,,,,,,,,,,,
12725,,,,,,0,,,,,,,,,,,,
12726,,,,,,0,,,,,,,,,,,,
12727,,,,,,0,,,,,,,,,,,,
12728,,,,,,0,,,,,,,,,,,,
12729,,,,,,0,,,,,,,,,,,,
12730,,,,,,0,,,,,,,,,,,,
12731,,,,,,0,,,,,,,,,,,,
12732,,,,,,0,,,,,,,,,,,,
12733,,,,,,0,,,,,,,,,,,,
12734,,,,,,0,,,,,,,,,,,,
12735,,,,,,0,,,,,,,,,,,,
12736,,,,,,0,,,,,,,,,,,,
12737,,,,,,0,,,,,,,,,,,,
12738,,,,,,0,,,,,,,,,,,,
12739,,,,,,0,,,,,,,,,,,,
12740,,,,,,0,,,,,,,,,,,,
12741,,,,,,0,,,,,,,,,,,,
12742,,,,,,0,,,,,,,,,,,,
12743,,,,,,0,,,,,,,,,,,,
12744,,,,,,0,,,,,,,,,,,,
12745,,,,,,0,,,,,,,,,,,,
12746,,,,,,0,,,,,,,,,,,,
12747,,,,,,0,,,,,,,,,,,,
12748,,,,,,0,,,,,,,,,,,,
12749,,,,,,0,,,,,,,,,,,,
12750,,,,,,0,,,,,,,,,,,,
12751,,,,,,0,,,,,,,,,,,,
12752,,,,,,0,,,,,,,,,,,,
12753,,,,,,0,,,,,,,,,,,,
12754,,,,,,0,,,,,,,,,,,,
12755,,,,,,0,,,,,,,,,,,,
12756,,,,,,0,,,,,,,,,,,,
12757,,,,,,0,,,,,,,,,,,,
12758,,,,,,0,,,,,,,,,,,,
12759,,,,,,0,,,,,,,,,,,,
12760,,,,,,0,,,,,,,,,,,,
12761,,,,,,0,,,,,,,,,,,,
12762,,,,,,0,,,,,,,,,,,,
12763,,,,,,0,,,,,,,,,,,,
12764,,,,,,0,,,,,,,,,,,,
12765,,,,,,0,,,,,,,,,,,,
12766,,,,,,0,,,,,,,,,,,,
12767,,,,,,0,,,,,,,,,,,,
12768,,,,,,0,,,,,,,,,,,,
12769,,,,,,0,,,,,,,,,,,,
12770,,,,,,0,,,,,,,,,,,,
12771,,,,,,0,,,,,,,,,,,,
12772,,,,,,0,,,,,,,,,,,,
12773,,,,,,0,,,,,,,,,,,,
12774,,,,,,0,,,,,,,,,,,,
12775,,,,,,0,,,,,,,,,,,,
12776,,,,,,0,,,,,,,,,,,,
12777,,,,,,0,,,,,,,,,,,,
12778,,,,,,0,,,,,,,,,,,,
12779,,,,,,0,,,,,,,,,,,,
12780,,,,,,0,,,,,,,,,,,,
12781,,,,,,0,,,,,,,,,,,,
12782,,,,,,0,,,,,,,,,,,,
12783,,,,,,0,,,,,,,,,,,,
12784,,,,,,0,,,,,,,,,,,,
12785,,,,,,0,,,,,,,,,,,,
12786,,,,,,0,,,,,,,,,,,,
12787,,,,,,0,,,,,,,,,,,,
12788,,,,,,0,,,,,,,,,,,,
12789,,,,,,0,,,,,,,,,,,,
12790,,,,,,0,,,,,,,,,,,,
12791,,,,,,1,0,3,1923,2122,,,,,,,,
12792,,,,,,1,0,184,2124,2321,,,,,,,,
12793,,,,,,1,0,191,2122,2318,,,,,,,,
12794,,,,,,1,0,189,,,,,,,,,,
12795,,,,,,0,,,,,,,,,,,,
12796,,,,,,0,,,,,,,,,,,,
12797,,,,,,0,,,,,,,,,,,,
12798,,,,,,0,,,,,,,,,,,,
12799,,,,,,0,,,,,,,,,,,,
12800,,,,,,0,,,,,,,,,,,,
12801,,,,,,0,,,,,,,,,,,,
12802,,,,,,0,,,,,,,,,,,,
12803,,,,,,0,,,,,,,,,,,,
12804,,,,,,1,1917,2114,,,,,,,,,,
12805,,,,,,1,0,183,2102,2302,,,,,,,,
12806,,,,,,1,0,194,2114,2314,,,,,,,,
12807,,,,,,1,0,181,2109,2304,,,,,,,,
12808,,,,,,1,0,191,2069,2107,,,,,,,,
12809,,,,,,0,,,,,,,,,,,,
12810,,,,,,0,,,,,,,,,,,,
12811,,,,,,0,,,,,,,,,,,,
12812,,,,,,0,,,,,,,,,,,,
12813,,,,,,0,,,,,,,,,,,,
12814,,,,,,0,,,,,,,,,,,,
12815,,,,,,0,,,,,,,,,,,,
12816,,,,,,0,,,,,,,,,,,,
12817,,,,,,0,,,,,,,,,,,,
12818,,,,,,0,,,,,,,,,,,,
12819,,,,,,0,,,,,,,,,,,,
12820,,,,,,0,,,,,,,,,,,,
12821,,,,,,0,,,,,,,,,,,,
12822,,,,,,0,,,,,,,,,,,,
12823,,,,,,0,,,,,Panels visible all orbit,,,,,,,
12824,,,,,,0,,,,,Panels visible all orbit,,,,,,,
12825,,,,,,1,0,19,,,,,,,,,,
12826,,,,,,0,,,,,,,,,,,,
12827,,,,,,0,,,,,,,,,,,,
12828,,,,,,0,,,,,,,,,,,,
12829,,,,,,0,,,,,,,,,,,,
12830,,,,,,0,,,,,,,,,,,,
12831,,,,,,0,,,,,,,,,,,,
12832,,,,,,0,,,,,,,,,,,,
12833,,,,,,0,,,,,,,,,,,,
12834,,,,,,0,,,,,,,,,,,,
12835,,,,,,0,,,,,,,,,,,,
12836,,,,,,0,,,,,,,,,,,,
12837,,,,,,0,,,,,,,,,,,,
12838,,,,,,0,,,,,,,,,,,,
12839,,,,,,0,,,,,,,,,,,,
12840,,,,,,0,,,,,,,,,,,,
12841,,,,,,1,0,13,,,,,,,,,,
12842,,,,,,0,,,,,,,,,,,,
12843,,,,,,0,,,,,,,,,,,,
12844,,,,,,0,,,,,,,,,,,,
12845,,,,,,1,0,10,,,,,,,,,,
12846,,,,,,0,,,,,,,,,,,,
12847,,,,,,0,,,,,,,,,,,,
12848,,,,,,0,,,,,,,,,,,,
12849,,,,,,0,,,,,,,,,,,,
12850,,,,,,0,,,,,,,,,,,,
12851,,,,,,0,,,,,,,,,,,,
12852,,,,,,0,,,,,,,,,,,,
12853,,,,,,0,,,,,,,,,,,,
12854,,,,,,0,,,,,,,,,,,,
12855,,,,,,0,,,,,,,,,,,,
12856,,,,,,0,,,,,Panels visible all orbit,,,,,,,
12857,,,,,,0,,,,,,,,,,,,
12858,,,,,,0,,,,,,,,,,,,
12859,,,,,,0,,,,,,,,,,,,
,,,,,,433,169,169,145,145,,,,,,,,
