Orbit #,glare_initial,glare_final,"(3,0)start","(3,0)end","(4,0)start","(4,0)end","(3,1)start","(3,1)end","(4,1)start","(4,1)end","(5,1)start","(5,1)end","(3,2)start","(3,2)end","(4,2)start","(4,2)end","(5,2)start","(5,2)end","(3,3)start","(3,3)end","(4,3)start","(4,3)end","(5,3)start","(5,3)end","(3,4)start","(3,4)end","(4,4)start","(4,4)end","(5,4)start","(5,4)end","(3,5)start","(3,5)end","(4,5)start","(4,5)end"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1800,,,1446,1648,1550,1753,1622,1753,1566,1753,1550,1753,,,1736,1753,1674,1753,,,,,,,,,0,60,0,68,0,120,0,120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1850,,,1524,1750,1542,1872,1706,1872,1655,1872,1646,1872,,,1812,1872,1762,1872,,,,,0,68,0,51,0,141,0,151,0,194,0,194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,,,1590,1797,1596,1924,1747,1924,1718,1924,1741,1924,1909,1924,1863,1924,1823,1924,,,0,12,0,79,0,78,0,153,0,162,0,230,0,224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950,,,1626,1918,1576,1939,1804,1939,1665,1939,1654,1939,,,1838,1939,1816,1939,,,,,,,,,,,,,0,140,0,112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,,,1666,1914,1582,1914,1824,1914,1663,1914,1659,1914,,,1822,1914,1804,1914,,,,,,,,,0,92,0,100,0,103,0,172
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,,,1664,1877,1547,1877,1837,1877,1643,1877,1630,1877,,,1825,1877,1770,1877,,,,,,,,,0,89,0,105,0,88,0,180
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060,,,1670,1856,1528,1856,1829,1856,1628,1856,1613,1856,,,1801,1856,1747,1856,,,,,,,,,0,93,0,114,0,75,0,184
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,,,1681,1792,1491,1792,,,1602,1792,1581,1792,,,1762,1792,1703,1792,,,,,,,,,0,91,0,105,0,52,0,173
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120,,,1649,1745,1474,1745,,,1576,1745,1560,1745,,,1740,1745,1683,1745,,,,,,,,,0,90,0,105,0,23,0,178
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150,,,1631,1697,1436,1697,,,1541,1697,1522,1697,,,1695,1697,1637,1697,,,,,,,,,0,63,0,77,,,0,143
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2180,,,1654,1711,1446,1711,,,1548,1711,1532,1711,,,1708,1711,1654,1711,,,,,,,,,0,73,0,90,,,0,158
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2210,,,1658,1716,1453,1716,,,1565,1716,1545,1716,,,,,1658,1716,,,,,,,,,0,81,0,98,,,0,160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2240,,,1645,1785,1478,1785,,,1577,1785,1566,1785,,,1744,1785,1685,1785,,,,,,,,,0,90,0,93,0,44,0,169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2270,,,1660,1803,1515,1803,,,1614,1803,1600,1803,,,1787,1803,1735,1803,,,,,,,,,0,103,0,120,0,80,0,184
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2300,,,1660,1863,1529,1863,1820,1863,1632,1863,1614,1863,,,1809,1863,1748,1863,,,,,,,,,0,90,0,102,0,81,0,183
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2330,,,1659,1899,1557,1899,1830,1899,1662,1899,1642,1899,,,1820,1899,1789,1899,,,,,,,,,0,91,0,102,0,95,0,177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2360,,,1671,1920,1582,1920,1823,1920,1660,1920,1660,1920,,,1823,1920,1811,1920,,,,,,,,,0,70,0,85,0,113,0,157
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2390,,,1644,1944,1600,1944,1820,1944,1665,1944,1636,1944,,,1831,1944,1806,1944,,,,,,,,,,,0,47,0,185,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420,,,1542,1778,1598,1856,1737,1927,1735,1927,1625,1927,1914,1927,1869,1927,1800,1927,,,,,0,56,0,58,0,134,0,140,0,228,0,228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,,,1508,1742,1532,1881,1688,1911,1658,1911,1647,1911,1859,1911,1808,1911,1760,1911,,,,,0,50,0,40,0,124,0,133,0,203,0,189
,,,,,,,,,,,,,,,,,,,,,,,1873,1911,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,,,1486,1704,1501,1863,1664,1863,1611,1863,1611,1863,1839,1863,1780,1863,1722,1863,,,,,0,45,0,26,0,116,0,126,0,183,0,175
,,,,,,,,,,,,,,,,,,,,,,,1840,1863,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402,,,1415,1614,1429,1767,1592,1767,1532,1767,1523,1767,,,1711,1767,1645,1767,,,,,,,,,0,43,0,53,0,117,0,115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4430,0,16,1389,1615,1411,1702,1567,1702,1531,1702,1521,1702,,,1681,1702,1630,1702,,,,,,,,,,,,,0,59,0,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4460,0,55,1345,1590,1363,1617,1533,1617,1490,1617,1478,1617,,,,,1598,1617,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4490,,,,,,,,,,,0,433,,,0,860,0,1428,0,330,0,1428,0,1428,997,1428,0,1428,0,1428,,,320,1428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4520,,,1197,1370,1242,1370,,,,,1290,1370,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4550,0,8,1246,1438,1292,1438,,,,,1340,1438,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4580,0,83,1338,1582,1368,1618,1526,1618,1480,1618,1468,1618,,,,,1583,1618,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4610,0,40,1375,1620,1397,1678,1560,1678,1519,1678,1510,1678,,,1673,1678,1627,1678,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4640,,,1388,1585,1395,1756,1566,1756,1505,1756,1494,1756,1747,1756,1676,1756,1619,1756,,,,,1743,1756,,,0,7,0,18,0,77,0,73
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4670,,,1476,1702,1493,1777,1675,1843,1553,1843,1553,1843,,,1724,1843,1729,1843,,,,,,,,,,,0,5,0,114,0,86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,,,1477,1693,1477,1879,1644,1870,1594,1892,1584,1892,1817,1892,1753,1892,1702,1892,,,,,0,24,0,10,0,101,0,103,0,167,0,161
,,,,,,,,,,,,,,,,,,,,,,,1827,1892,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4730,,,1500,1738,1528,1877,1684,1912,1652,1931,1605,1931,1853,1931,1801,1931,1762,1931,,,,,0,52,0,37,0,119,0,128,0,195,0,187
,,,,,,,,,,,,,,,,,,,,,,,1873,1931,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4760,,,1641,1925,1588,1925,1823,1925,1676,1925,1661,1925,,,1854,1925,1823,1925,,,,,0,12,0,38,0,72,0,76,0,217,0,175
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4790,,,1683,1926,1591,1926,1854,1926,1684,1926,1680,1926,,,1847,1926,1828,1926,,,,,,,,,0,109,0,121,0,132,0,194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4820,,,1685,1900,1566,1900,1851,1900,1664,1900,1652,1900,,,1846,1900,1797,1900,,,,,,,,,0,120,0,131,0,116,0,207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4850,,,1699,1862,1569,1862,,,1675,1862,1661,1862,,,1844,1862,1789,1862,,,,,0,12,,,0,125,0,137,0,100,0,210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6292,,,1510,1740,1527,1909,1688,1909,1640,1909,1634,1909,1867,1909,1802,1909,1749,1909,,,,,0,77,0,63,0,147,0,155,12,220,0,220
,,,,,,,,,,,,,,,,,,,,,,,1867,1909,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6320,,,1506,1728,1516,1902,1684,1901,1631,1902,1622,1902,1858,1902,1793,1902,1741,1902,,,,,0,82,0,70,0,155,0,168,32,214,0,214
,,,,,,,,,,,,,,,,,,,,,,,1862,1902,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6350,,,1493,1698,1493,1870,1662,1858,1607,1870,1593,1870,1838,1870,1772,1870,1712,1870,,,,,0,57,0,44,0,127,0,144,23,201,0,194
,,,,,,,,,,,,,,,,,,,,,,,1835,1870,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6380,,,1486,1683,1486,1859,1663,1859,1607,1859,1590,1859,1840,1859,1773,1859,1709,1859,,,,,0,57,0,40,0,134,0,147,46,200,0,200
,,,,,,,,,,,,,,,,,,,,,,,1838,1859,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6410,,,1467,1650,1467,1832,1790,1832,1590,1832,1572,1832,1820,1832,1754,1832,1692,1832,,,,,0,32,,,0,112,0,112,71,180,0,180
,,,,,,,,,,,,,,,,,,,,,,,1820,1832,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6440,,,1487,1684,1492,1862,1664,1862,1605,1862,1591,1862,1840,1862,1776,1862,1713,1862,,,,,0,55,0,37,0,132,0,149,44,205,0,205
,,,,,,,,,,,,,,,,,,,,,,,1838,1862,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6470,,,1504,1713,1513,1878,1680,1878,1626,1878,1613,1878,1855,1878,1790,1878,1730,1878,,,,,0,66,0,58,0,145,0,156,32,217,0,217
,,,,,,,,,,,,,,,,,,,,,,,1852,1878,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6500,,,1504,1727,1512,1892,1682,1892,1631,1892,1625,1892,1856,1892,1792,1892,1738,1892,,,,,0,69,0,60,0,141,0,155,17,215,0,215
,,,,,,,,,,,,,,,,,,,,,,,1858,1892,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6530,,,1590,1842,1578,1897,1780,1905,1654,1905,1648,1905,,,1820,1905,1827,1905,,,,,,,,,,,0,35,0,167,0,123
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6560,,,1539,1770,1564,1904,1717,1930,1686,1930,1635,1930,1884,1930,1828,1930,1791,1930,,,0,7,0,80,0,77,0,154,0,166,7,238,0,238
,,,,,,,,,,,,,,,,,,,,,,,1900,1930,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6590,,,1552,1790,1595,1890,1742,1926,1727,1926,1638,1926,1901,1926,1865,1926,1812,1926,,,0,8,0,74,0,77,0,145,0,163,0,237,0,217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6620,,,1689,1927,1585,1927,1857,1927,1685,1927,1670,1927,,,1852,1927,1820,1927,,,,,0,6,,,0,124,0,134,0,127,0,208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6650,,,1687,1905,1569,1905,1859,1905,1660,1905,1654,1905,,,1845,1905,1791,1905,,,,,0,18,,,0,137,0,150,0,123,0,221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6680,,,1680,1851,1520,1851,1841,1851,1628,1851,1614,1851,,,1807,1851,1743,1851,,,,,0,18,,,0,129,0,145,0,94,0,203
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6710,,,1681,1795,1501,1795,,,1604,1795,1591,1795,,,1773,1795,1708,1795,,,,,0,27,,,0,131,0,145,0,70,0,207
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6740,,,1658,1702,1458,1702,,,1558,1702,1543,1702,,,,,1669,1702,,,,,0,8,,,0,104,0,120,,,0,180
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6770,,,1504,1535,1385,1535,,,1486,1535,1470,1535,,,,,,,,,,,,,,,0,40,0,55,,,0,114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6772,,,,,1385,1512,,,1481,1512,1465,1512,,,,,,,,,,,,,,,0,37,0,51,,,0,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6929,0,15,,,1316,1387,,,,,,,,,,,,,,,,,,,,,,,,,,,15,37
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6930,0,14,,,1314,1392,,,,,,,,,,,,,,,,,,,,,,,,,,,14,42
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6932,0,13,,,1323,1395,,,,,,,,,,,,,,,,,,,,,,,,,,,13,46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6942,,,,,1340,1425,,,,,1420,1425,,,,,,,,,,,,,,,,,0,10,,,0,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6949,,,,,1359,1496,,,1456,1496,1440,1496,,,,,,,,,,,,,,,0,13,0,23,,,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6950,,,,,1354,1492,,,1451,1492,1435,1492,,,,,,,,,,,,,,,0,5,0,20,,,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6954,,,,,1368,1524,,,1468,1524,1457,1524,,,,,,,,,,,,,,,0,18,0,36,,,0,93
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6957,,,,,1395,1557,,,1490,1557,1479,1557,,,,,,,,,,,,,,,0,42,0,59,,,0,112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6969,,,,,1407,1612,,,1507,1612,1492,1612,,,,,,,,,,,,,,,0,58,0,73,,,0,129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6986,,,1651,1696,1444,1696,,,1545,1696,1533,1696,,,,,1648,1696,,,,,,,,,0,77,0,93,,,0,159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6998,,,1686,1763,1476,1763,,,1579,1763,1560,1763,,,1741,1763,1679,1763,,,,,0,11,,,0,106,0,124,0,30,0,187
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6999,,,1665,1765,1488,1765,,,1586,1765,1573,1765,,,1753,1765,1696,1765,,,,,0,20,,,0,118,0,125,0,36,0,195
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7009,,,1683,1790,1492,1790,,,1587,1790,1572,1790,,,1753,1790,1696,1790,,,,,0,11,,,0,107,0,122,0,46,0,186
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7047,,,1711,1884,1545,1884,1851,1884,1641,1884,1630,1884,,,1817,1884,1762,1884,,,,,0,27,,,0,136,0,150,0,107,0,215
